,type_of_company,company_name,company_url
314,Capital Goods - Electrical Equipment companies,JSL Industries,https://www.screener.in/company/504080
315,Capital Goods - Electrical Equipment companies,S & S Power Swit,https://www.screener.in/company/S&SPOWER
316,Capital Goods - Electrical Equipment companies,Jyoti,https://www.screener.in/company/504076
317,Capital Goods - Electrical Equipment companies,Marsons,https://www.screener.in/company/517467
318,Capital Goods - Electrical Equipment companies,Viviana Power,https://www.screener.in/company/VIVIANA
319,Capital Goods - Electrical Equipment companies,Advance Meter.,https://www.screener.in/company/534612
320,Capital Goods - Electrical Equipment companies,Quest Softech,https://www.screener.in/company/535719
321,Capital Goods - Electrical Equipment companies,Alfa Transformer,https://www.screener.in/company/517546
322,Capital Goods - Electrical Equipment companies,Maks Energy,https://www.screener.in/company/MAKS
323,Capital Goods - Electrical Equipment companies,Evans Electric,https://www.screener.in/company/542668
324,Capital Goods - Electrical Equipment companies,Agni Green,https://www.screener.in/company/AGNI
325,Capital Goods - Electrical Equipment companies,Sungarner Energ.,https://www.screener.in/company/SEL
326,Capital Goods - Electrical Equipment companies,Cospower Engine.,https://www.screener.in/company/543172
327,Capital Goods - Electrical Equipment companies,Sparc Electrex,https://www.screener.in/company/531370
328,Capital Goods - Electrical Equipment companies,Switching Tech.,https://www.screener.in/company/517201
329,Capital Goods - Electrical Equipment companies,Bright Solar,https://www.screener.in/company/BRIGHT
330,Capital Goods - Electrical Equipment companies,Tarapur Trans,https://www.screener.in/company/TARAPUR
331,Capital Goods - Electrical Equipment companies,Integra Switch,https://www.screener.in/company/517423
332,Capital Goods - Electrical Equipment companies,Sterling Powerg.,https://www.screener.in/company/513575
333,Capital Goods - Electrical Equipment companies,Epic Energy,https://www.screener.in/company/530407
334,Capital Goods - Electrical Equipment companies,IMP Powers,https://www.screener.in/company/INDLMETER
335,Capital Goods - Electrical Equipment companies,Cont. Controls,https://www.screener.in/company/531460
336,Capital Goods-Non Electrical Equipment companies,Hind.Aeronautics,https://www.screener.in/company/HAL
337,Capital Goods-Non Electrical Equipment companies,Cummins India,https://www.screener.in/company/CUMMINSIND
338,Capital Goods-Non Electrical Equipment companies,Thermax,https://www.screener.in/company/THERMAX
339,Capital Goods-Non Electrical Equipment companies,Bharat Dynamics,https://www.screener.in/company/BDL
340,Capital Goods-Non Electrical Equipment companies,Grindwell Norton,https://www.screener.in/company/GRINDWELL
341,Capital Goods-Non Electrical Equipment companies,Carborundum Uni.,https://www.screener.in/company/CARBORUNIV
342,Capital Goods-Non Electrical Equipment companies,Elgi Equipments,https://www.screener.in/company/ELGIEQUIP
343,Capital Goods-Non Electrical Equipment companies,Titagarh Rail,https://www.screener.in/company/TITAGARH
344,Capital Goods-Non Electrical Equipment companies,Jupiter Wagons,https://www.screener.in/company/JWL
345,Capital Goods-Non Electrical Equipment companies,KSB,https://www.screener.in/company/KSB
346,Capital Goods-Non Electrical Equipment companies,BEML Ltd,https://www.screener.in/company/BEML
347,Capital Goods-Non Electrical Equipment companies,Graphite India,https://www.screener.in/company/GRAPHITE
